adid,itemid,level
Y0CQ6,NKRP6,other
T4WN6,QVT8S,platinum
GQ8JT,KIE8I,gold
V49GW,OEYRT,other
N9427,TZZSO,silver
9AFZA,GOA1X,other
VPUEM,41BHM,platinum
J82FF,9T4E4,silver
5GT9S,ZOXPM,gold
8N9S2,3KPDQ,gold
YUPSL,Q0D8Y,platinum
CQ4EF,LXLYF,platinum
CF8Z7,33GFY,silver
PN0R2,JNSBK,other
WFUH5,199SM,silver
PBRHO,1GR3D,silver
V1DGJ,Y3C35,platinum
8EBHM,WHQ8I,gold
XHCBM,F6H5A,platinum
4NDB8,FCC2T,other
QEOET,507OD,silver
D63CG,WJ5PN,other
W4KND,MZ0U0,platinum
V7QH2,N108C,platinum
06TWY,IW0J0,silver
A3FVC,1BK15,silver
4WSWI,51CTV,silver
0FAMV,6Y8W1,platinum
2Y0CZ,XJHVB,other
CK2EQ,GT4Z5,platinum
59AC5,81W16,silver
3D0M9,CCC53,gold
IAZ0U,GPBCG,gold
A7GMH,P0M0R,platinum
RLG4Z,P8ZJW,gold
2HQI7,QC9G0,silver
JRBCC,NUUZE,platinum
9UXC5,H2DRJ,other
X8LNY,ET0Q8,silver
JRVVX,GPZPY,gold
CCRKJ,O0B6O,silver
9ISH4,WD5M0,platinum
TL7ET,AJWGF,other
T0GG9,WA88F,other
VH4H5,EQIA6,other
VJKYF,H0HZA,gold
MODYA,CSBS6,gold
7S25N,FZHDP,other
OQK1M,KHO60,silver
B72MH,OHX9M,other
NCNJG,9J1JV,platinum
X8JG5,7L11X,platinum
175U5,2V1QS,other
M8OAV,YMYJO,silver
C7JQJ,LBXAQ,other
4EF7C,BS6HD,gold
CTA2V,Z97S2,platinum
3X6Y7,MYA06,gold
7E1NS,K16BX,other
4YOBA,Z1G2E,platinum
QVE5Q,SKF0K,silver
YYDKI,27SZF,platinum
VDC40,1WT76,platinum
FJW0C,FNFQ2,other
DG4JB,9N9TR,gold
IUG9W,JJGOO,platinum
5HD3V,JUHND,gold
SIYSH,D7KEH,platinum
Z2XM3,I46YC,silver
ECC5Q,KLTHN,gold
NOF67,2BZ5H,other
HJ11F,LPFGP,gold
G0JB2,U4IT7,other
B5UQF,PXSIB,silver
WBWWL,4RTIO,gold
OXEJN,YQACM,gold
HASXB,LYJZD,platinum
L3H4W,6JEDO,silver
NXV4S,8515L,silver
9ULFG,72VJO,silver
JIOU6,PNV6Z,platinum
LSX0C,220YV,platinum
ZEEI0,KZLD4,silver
J1TWF,WJVR2,platinum
X7DY0,QM5R3,gold
U2NXS,EEOKB,other
LGRH9,6SCTF,platinum
2ZL01,BEXSP,platinum
3V7JW,GDA7I,other
F4NSA,D26MW,other
ANTHT,30BZP,platinum
4F5O8,TLK9K,other
BHRCA,B5PEW,silver
Z2GQW,37ZPB,silver
MFCEQ,02YGN,silver
H7PKE,QQEM3,other
S7I7N,86J10,gold
8ZRS2,E62DS,silver
IKHHY,A0VN9,other
I9TW4,9XKBX,other
56U5D,ASJPL,other
5DNBW,X2J7P,other
A7EFZ,RGX5T,gold
2XAMN,9P97R,gold
HARSO,JXY8R,platinum
SMG13,M1GV3,silver
V01J2,EFBHU,platinum
INL2W,UGNRH,other
5YOM2,IQ1AH,platinum
DYCOF,WU0G8,platinum
LOTF6,DS4GZ,silver
W03D7,YCMC6,other
5Q4NV,81FOL,silver
DKWAS,KLB1H,gold
1OZ9O,THOFT,other
6IJEV,LW5LF,platinum
GFUU8,WRWM4,other
QB7CM,R8VMO,silver
7WMMQ,M19FT,silver
YQ4WP,3CC82,gold
9EA35,YZ6S4,other
0532H,JD0UD,gold
GJ0N2,ENKHD,gold
9ZCLP,KY2MI,other
RWU1G,FCPWW,silver
MS263,NCXHW,silver
BHGL0,X6B1N,platinum
A861D,7Q1IE,gold
RHWO8,6K3AB,silver
PE7TU,RGFOT,platinum
4SKIA,F8X3C,silver
BIZJL,GJM6C,gold
N5NPI,Y4RI7,platinum
WI5GB,QFD9M,silver
TAO9K,ZEJ0P,other
48UFQ,30QV1,platinum
MUSYD,NBGBF,platinum
PV2OQ,I3HI7,silver
TBW8D,XA91K,platinum
5DBPC,9XJ21,gold
UEDW1,KV1DG,platinum
N21JW,WQ8M2,silver
V0YA0,4PSLL,silver
3CH0Y,TUUJ5,platinum
I6JFV,D86Q5,platinum
LPBK9,GJKO5,platinum
1G3JC,3U4UW,silver
YBC5F,DYM05,silver
J3P6W,FSCOL,platinum
ZVR5Z,A84FX,gold
S94C8,JC74R,silver
C3ZHZ,6VNJH,silver
BRCQS,PG93O,platinum
7VYQN,DFOCE,gold
VP8WK,ME6NS,platinum
ADJWX,22V1Z,silver
U5Z1K,K9G6O,gold
C2IVA,J348U,other
QME91,IMK9T,silver
L7KEK,H7ZHD,gold
8Y1RT,FR0CJ,silver
RQ879,TYQPS,silver
M1JA6,8HNRI,platinum
YX3C9,Q6Y9L,other
OBX7K,81CD0,platinum
5BPPR,CZ8HX,platinum
0E2P2,9PSME,gold
K2E1Z,P3Q01,silver
WUFTB,GYBWK,other
QMZY1,J60K0,other
C3WIR,KOPC4,silver
Z47IC,8XMVH,gold
WXAEM,XYSW0,gold
4CUBU,F3WL1,other
R0JJZ,68Q33,silver
KII4C,4SGJZ,gold
YLWFF,FYKAL,platinum
MQUQQ,F851I,other
J29JC,CRJ9N,platinum
CUEM3,ETORL,platinum
7KVI4,JF1A2,gold
7VAFG,ANXVB,other
2VY6X,4UAZW,gold
BLIBV,R912K,platinum
DTYDK,Q1HVC,silver
E0D2W,ADZWR,silver
30LB3,NAA18,silver
YEWGH,B53W6,gold
LZAU3,6EPJN,other
D8ZQB,8F2RM,gold
FVWG4,W053N,gold
7SCAY,WBWBB,silver
9JKLK,G2VQD,platinum
VB4ZC,CFGAT,platinum
SVKPW,QZ2C4,platinum
03XIY,ZOV7D,gold
AYLJB,N6Y1Y,gold
6ACDH,8FWGU,platinum
YB01V,UZBBQ,platinum
X6N8Z,27ZOS,gold
WG11P,K2CD7,other
